old_circuit_id,new_circuit_id,tipo,status,final_status,modem,plan,mac_address,city,latitude,longitude,state,terminal_id,created_at,terminated_at,new_tipo,GBytes_in,GBytes_out,GBytes_total,last_use,days_since_use,use_cat,provedor
PASI000016,PASI000016,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,ANANINDEUA,-1.4053000211715698,-48.42250061035156,PA,FTB-000307,2019-01-28,2024-01-28,UBS,,,,2024-10-25,6,Offline,SES
PASI000022,PASI000022,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,ABAETETUBA,-1.811900019645691,-48.81029891967773,PA,FTB-000406,2019-02-05,2024-02-05,UBS,,,,2024-10-28,3,Online,Viasat
PASI000026,PASI000026,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BELEM,-1.4322222471237185,-48.476112365722656,PA,FTB-000491,2019-02-08,2024-02-08,UBS,,,,2024-10-28,3,Online,SES
PASI000018,PASI000018,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BELEM,-1.3658000230789185,-48.43080139160156,PA,FTB-000554,2019-02-12,2024-02-12,UBS,,,,2024-10-27,4,Atenção,Viasat
PASI000024,PASI000024,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BELEM,-1.3033000230789185,-48.459999084472656,PA,FTB-000437,2019-02-06,2024-02-06,UBS,,,,2024-10-26,5,Atenção,Viasat
ALSI000183,ALSF000440,ubs,Migração,Ativo,SB2PLUSMODEM,0039-GESAC2 200,00A0BC760200,Igaci,-9.55317497253418,-36.750953674316406,Alagoas,FTB-000428,2019-02-05,2024-02-05,UBS,,,,2024-10-25,6,Offline,SES
PASI001155,PASI001155,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,PORTEL,-1.934000015258789,-50.81900024414063,PA,FTB-001126,2019-03-08,2024-03-08,UBS,,,,2024-10-31,0,Online,Hughesnet
PASI000127,PASI000127,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,00A0BC3CD76F,VISEU,-1.1890000104904177,-46.141998291015625,PA,FTB-001914,2019-03-27,2024-03-27,UBS,,,,2024-10-16,15,Offline,Viasat
PASI000106,PASI000106,ubs,Other Providers,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BREVES,-1.6779999732971191,-50.4739990234375,PA,FTB-003857,2019-05-09,2024-05-09,UBS,,,,2024-10-31,0,Online,SES
PASI000135,PASI000135,ubs,Will Not Migrate,Terminated,SB2MODEM,0001-GESAC 10Mbps,NOT_AVAILABLE,BAIÃO,-2.789999961853028,-49.67100143432617,PA,FTB-005966,2019-06-07,2024-06-07,UBS,,,,2024-10-26,5,Atenção,Hughesnet
